question,context,answer,score,is_hallucinated,hallucination_type,problematic_sentences,reasoning,explanation,ground_truth_label,agent_steps
What is the estimated wealth intensifying of the novel on which the film Blue Blood is based ?," It was based on the novel ""The Carry-Cot"" by Alexander Thynn. He was ranked 359th in the ""Sunday Times Rich List 2009"" with an estimated wealth of £157 million.",£157 million.,0.6394,True,unsupported_hallucination,['£157 million.'],"Per-sentence support scores: [0.36]. Avg support: 0.361. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.361).,0,1
What music group had a greatest hits album that references their fourth studio album in the title?,"Greatest Hits: Back to the Start is the second greatest hits album by Megadeth. The title ""Back to the Start"" is a reference to lyrics in ""Rust in Peace...Polaris"" from Megadeth's 1990 album ""Rust in Peace"": """"The day of final conflict/All pay the price/The third World War rapes peace/Takes life back to the start""""Rust in Peace is the fourth studio album by the American thrash metal band Megadeth, released on September 24, 1990 by Capitol Records.",Megadeth,0.6282,True,unsupported_hallucination,['Megadeth'],"Per-sentence support scores: [0.37]. Avg support: 0.372. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.372).,0,1
What is the estimated wealth intensifying of the novel on which the film Blue Blood is based ?," It was based on the novel ""The Carry-Cot"" by Alexander Thynn. He was ranked 359th in the ""Sunday Times Rich List 2009"" with an estimated wealth of £157 million.","The novel ""The Carry-Cot"" has nothing to do with wealth.",0.4394,False,none,[],"Per-sentence support scores: [0.56]. Avg support: 0.561. Supported: 0 (incl. 1 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.561).,1,1
"Who was born first, Sharon den Adel or Ezra Koenig?","Ezra Michael Koenig (born April 8, 1984) is an American musician, singer, songwriter, and radio personality.Sharon Janny den Adel (born 12 July 1974) is a Dutch singer, songwriter and fashion designer, best known as the lead vocalist and one of the main songwriters in the Dutch symphonic metal band Within Temptation.",Sharon Janny den Adel,0.484,False,none,[],"Per-sentence support scores: [0.52]. Avg support: 0.516. Supported: 0 (incl. 1 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.516).,0,1
Which Magnolia actor was also a United States Navy Combat veteran in World War II?," The film stars Jeremy Blackman, Tom Cruise, Melinda Dillon, Philip Baker Hall, Philip Seymour Hoffman, Ricky Jay, William H. Macy, Alfred Molina, Julianne Moore, John C. Reilly, Jason Robards and Melora Walters, and is a mosaic of interrelated characters in search of happiness, forgiveness and meaning in the San Fernando Valley. He was also a United States Navy combat veteran of World War II.",Jason Robards,0.7075,True,unsupported_hallucination,['Jason Robards'],"Per-sentence support scores: [0.29]. Avg support: 0.292. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.292).,0,1
What state are both Wizzo and YG based in?,"Mario Fernandez (born 1984), better known as Wizzo or wizzogmb, is a Mexican-American hip-hop/electronic producer, recording/mixing engineer, and DJ based in Santa Ana, Ca.Keenon Daequan Ray Jackson (born March 9, 1990), better known by his stage name YG, is an American rapper and actor from Compton, California.",California,0.9204,True,unsupported_hallucination,['California'],"Per-sentence support scores: [0.08]. Avg support: 0.080. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.080).,0,1
"Splendor in the Grass was a film directed by a Greek-American director described as  ""one of the most honored and influential directors in Broadway and Hollywood history"" by who?","Splendor in the Grass is a 1961 Technicolor drama film that tells a story of a teenage girl navigating her feelings of sexual repression, love, and heartbreak. Written by William Inge, who appears briefly as a Protestant clergyman and who won an Oscar for his screenplay, the film was directed by Elia Kazan and features a score by jazz composer David Amram.Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history"".",Variety Magazine,0.8856,True,fabricated_detail_or_entity,['Variety Magazine'],"Per-sentence support scores: [0.11]. Avg support: 0.114. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.114).,1,1
"Who is the fictional character in the Transfer of Power book from 1999 and in the film adaptation of ""American Assassin""?","Transfer of Power is Vince Flynn's second published book in 1999 and is where the reader meets Mitch Rapp, the CIA's super agent.Mitch Rapp is a fictional character in a series of novels by Vince Flynn and in the film adaptation of ""American Assassin"" (previously ""Consent to Kill"").","The fictional character in the Transfer of Power book from 1999 and in the film adaptation of ""American Assassin"" is Mike Rapp.",0.65,True,fabricated_detail_or_entity,"['The fictional character in the Transfer of Power book from 1999 and in the film adaptation of ""American Assassin"" is Mike Rapp.']","Per-sentence support scores: [0.35]. Avg support: 0.350. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 1 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.350).,1,1
"For which invention are both Christian Friedrich Schönbein, a the German-Swiss chemist and William Robert Grove, the Welsh judge and physical scientist given credit?","Christian Friedrich Schönbein (18 October 1799 – 29 August 1868) was a German-Swiss chemist who is best known for inventing the fuel cell (1838) at the same time as William Robert Grove, Robert Cumming and his discoveries of guncotton and ozone.Sir William Robert Grove, PC, FRS FRSE (11 July 1811 – 1 August 1896) was a Welsh judge and physical scientist. He anticipated the general theory of the conservation of energy, and was a pioneer of fuel cell technology.",Both Christian Friedrich Schönbein and William Robert Grove are credited with discovering the solid oxide fuel cell.,0.65,True,unsupported_hallucination,['Both Christian Friedrich Schönbein and William Robert Grove are credited with discovering the solid oxide fuel cell.'],"Per-sentence support scores: [0.35]. Avg support: 0.350. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 1 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.350).,1,1
"What is the name of the American football coach born in 1967, who is in his fifth season, as of 2017, with the Idaho Vandals football team?","The Idaho Vandals are the college football team that represents the University of Idaho and plays its home games at the Kibbie Dome, an indoor facility on campus in Moscow, Idaho. The current head coach is Paul Petrino, in his fifth season in 2017.Paul Vincent Petrino (born May 25, 1967) is an American college football coach, currently the head coach at the University of Idaho in Moscow.",Paul Petrino,0.4822,False,none,[],"Per-sentence support scores: [0.52]. Avg support: 0.518. Supported: 0 (incl. 1 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.518).,0,1
"Lookwell was a television pilot written and produced by Conan O'rien and Robert Smigel, and was a personal favorite of what American television executive who was president of NBC from 1980-1991?","Lookwell was a television pilot written and produced by Conan O'Brien and Robert Smigel, the latter of whom would become a primary creative voice for O'Brien's late night show. Despite being a ""personal favorite"" of NBC chairman Brandon Tartikoff, the pilot was not picked up as a series.Brandon Tartikoff (January 13, 1949 – August 27, 1997) was an American television executive who was the president of NBC from 1980 to 1991.",Brandon Tartikoff,0.552,True,unsupported_hallucination,['Brandon Tartikoff'],"Per-sentence support scores: [0.45]. Avg support: 0.448. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.448).,0,1
"Splendor in the Grass was a film directed by a Greek-American director described as  ""one of the most honored and influential directors in Broadway and Hollywood history"" by who?","Splendor in the Grass is a 1961 Technicolor drama film that tells a story of a teenage girl navigating her feelings of sexual repression, love, and heartbreak. Written by William Inge, who appears briefly as a Protestant clergyman and who won an Oscar for his screenplay, the film was directed by Elia Kazan and features a score by jazz composer David Amram.Elia Kazan (born Elias Kazantzoglou September 7, 1909 – September 28, 2003) was a Greek-American director, producer, writer and actor, described by ""The New York Times"" as ""one of the most honored and influential directors in Broadway and Hollywood history"".",The New York Times,0.8604,True,unsupported_hallucination,['The New York Times'],"Per-sentence support scores: [0.14]. Avg support: 0.140. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.140).,0,1
"July 31, 1912 this Nobel Prize winner in Economic Sciences founded EdChoice?"," It was founded in 1996 by Nobel laureate Milton Friedman and his wife, economist Rose Director Friedman.Milton Friedman ( ; July 31, 1912 – November 16, 2006) was an American economist who received the 1976 Nobel Memorial Prize in Economic Sciences for his research on consumption analysis, monetary history and theory, and the complexity of stabilization policy.",Milton Friedman,0.2591,False,none,[],"Per-sentence support scores: [0.74]. Avg support: 0.741. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.741).,0,1
"Lookwell was a television pilot written and produced by Conan O'rien and Robert Smigel, and was a personal favorite of what American television executive who was president of NBC from 1980-1991?","Lookwell was a television pilot written and produced by Conan O'Brien and Robert Smigel, the latter of whom would become a primary creative voice for O'Brien's late night show. Despite being a ""personal favorite"" of NBC chairman Brandon Tartikoff, the pilot was not picked up as a series.Brandon Tartikoff (January 13, 1949 – August 27, 1997) was an American television executive who was the president of NBC from 1980 to 1991.",Lookwell was almost picked up as a series by David Letterman.,0.65,True,fabricated_detail_or_entity,['Lookwell was almost picked up as a series by David Letterman.'],"Per-sentence support scores: [0.35]. Avg support: 0.350. Supported: 0 (incl. 1 rescued by NLI gate), Low: 0, No support: 1 (incl. 1 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.350).,1,1
What state are both Wizzo and YG based in?,"Mario Fernandez (born 1984), better known as Wizzo or wizzogmb, is a Mexican-American hip-hop/electronic producer, recording/mixing engineer, and DJ based in Santa Ana, Ca.Keenon Daequan Ray Jackson (born March 9, 1990), better known by his stage name YG, is an American rapper and actor from Compton, California.",Wizzo and YG are from Southern California.,0.65,True,overgeneralization_or_extrapolation,['Wizzo and YG are from Southern California.'],"Per-sentence support scores: [0.35]. Avg support: 0.350. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 1 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.350).,1,1
The manager in which Mark Lazarus clashed with served as manager for the Wolverhampton Wanderers during which years?," He transferred to Wolverhampton Wanderers for a club record fee, but due to a clash with manager Stan Cullis, he moved back to QPR after only nine games. During his term as manager between 1948 and 1964, Wolves became one of the strongest teams in the British game, winning the league title on three occasions, and playing a series of high-profile friendly matches against top European sides which acted as a precursor to the European Cup.",1948 and 1964,0.7738,True,unsupported_hallucination,['1948 and 1964'],"Per-sentence support scores: [0.23]. Avg support: 0.226. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.226).,0,1
"When was the movie released in 2007 in which ""Let's Go"" song was used?","""Let's Go"" is the first single by American rapper Trick Daddy from his sixth studio album """". It was used in the films ""Stomp the Yard"" (2007) and ""Neighbors"" (2014) in addition to the extended trailer for ""Megamind"" (2010).Stomp the Yard is a 2007 dance drama film produced by Rainforest Films and released through Sony Pictures' Screen Gems division on January 12, 2007.","February 7, 2007",0.8829,True,unsupported_hallucination,"['February 7, 2007']","Per-sentence support scores: [0.12]. Avg support: 0.117. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.117).,1,1
Which movie starring Kim Roi-ha is based on Korea's first serial murders in history?,"Kim Roi-ha (born November 15, 1965) is a South Korean actor. Notable roles include a detective in ""Memories of Murder"" (2003), and a gangster in ""A Bittersweet Life"" (2005). It is based on the true story of Korea's first serial murders in history, which took place between 1986 and 1991 in Hwaseong, Gyeonggi Province.","Kim Roi-ha starred in ""The Host"".",0.5416,True,unsupported_hallucination,"['Kim Roi-ha starred in ""The Host"".']","Per-sentence support scores: [0.46]. Avg support: 0.458. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.458).,1,1
"Who was born first, Sharon den Adel or Ezra Koenig?","Ezra Michael Koenig (born April 8, 1984) is an American musician, singer, songwriter, and radio personality.Sharon Janny den Adel (born 12 July 1974) is a Dutch singer, songwriter and fashion designer, best known as the lead vocalist and one of the main songwriters in the Dutch symphonic metal band Within Temptation.",Ezra Koenig was born first.,0.4946,False,none,[],"Per-sentence support scores: [0.51]. Avg support: 0.505. Supported: 0 (incl. 1 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.505).,1,1
"The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside which city limits?","The 2000 Belmont Stakes was the 132nd running of the Belmont Stakes and the 96th time the event took place at Belmont Park in Elmont, New York.Belmont Park is a major Thoroughbred horse-racing facility located in Elmont, New York, just outside New York City limits.",New York City,0.7003,True,unsupported_hallucination,['New York City'],"Per-sentence support scores: [0.30]. Avg support: 0.300. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.300).,0,1
What music group had a greatest hits album that references their fourth studio album in the title?,"Greatest Hits: Back to the Start is the second greatest hits album by Megadeth. The title ""Back to the Start"" is a reference to lyrics in ""Rust in Peace...Polaris"" from Megadeth's 1990 album ""Rust in Peace"": """"The day of final conflict/All pay the price/The third World War rapes peace/Takes life back to the start""""Rust in Peace is the fourth studio album by the American thrash metal band Megadeth, released on September 24, 1990 by Capitol Records.",Metallica had a greatest hits album that references their fourth studio album in the title.,0.5171,True,unsupported_hallucination,['Metallica had a greatest hits album that references their fourth studio album in the title.'],"Per-sentence support scores: [0.48]. Avg support: 0.483. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.483).,1,1
"Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist, Bengali, is also known by its endonym Bangla, it's the national, and official language of which country?","Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist. It is the national and official language of the People's Republic of Bangladesh, and the official language of some eastern and north-eastern states of the Republic of India, including West Bengal, Tripura, Assam (Barak Valley) and Andaman and Nicobar Islands.",People's Republic of Bangladesh,0.5388,True,unsupported_hallucination,"[""People's Republic of Bangladesh""]","Per-sentence support scores: [0.46]. Avg support: 0.461. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.461).,0,1
"Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist, Bengali, is also known by its endonym Bangla, it's the national, and official language of which country?","Azfar Hussain (Bengali: আজফার হোসেন ) is a Bangladeshi theorist, critic, academic, bilingual writer, poet, translator, and activist. It is the national and official language of the People's Republic of Bangladesh, and the official language of some eastern and north-eastern states of the Republic of India, including West Bengal, Tripura, Assam (Barak Valley) and Andaman and Nicobar Islands.",Bengali is not the national language of any country.,0.5697,True,context_conflicting_hallucination,['Bengali is not the national language of any country.'],"Per-sentence support scores: [0.43]. Avg support: 0.430. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.430).,1,1
"No. 11 Squadron RAAF was based at what base, 25 km north of Adelaide?","No. 11 Squadron is a Royal Australian Air Force (RAAF) maritime patrol squadron based at RAAF Base Edinburgh.RAAF Base Edinburgh (ICAO: YPED) is a Royal Australian Air Force (RAAF) military airbase located in Edinburgh, 25 km north of the centre of Adelaide, South Australia, in Australia",RAAF Base Edinburgh,0.2097,False,none,[],"Per-sentence support scores: [0.79]. Avg support: 0.790. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.790).,0,1
"Who is the fictional character in the Transfer of Power book from 1999 and in the film adaptation of ""American Assassin""?","Transfer of Power is Vince Flynn's second published book in 1999 and is where the reader meets Mitch Rapp, the CIA's super agent.Mitch Rapp is a fictional character in a series of novels by Vince Flynn and in the film adaptation of ""American Assassin"" (previously ""Consent to Kill"").",Mitch Rapp,0.5144,True,unsupported_hallucination,['Mitch Rapp'],"Per-sentence support scores: [0.49]. Avg support: 0.486. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.486).,0,1
Which movie starring Kim Roi-ha is based on Korea's first serial murders in history?,"Kim Roi-ha (born November 15, 1965) is a South Korean actor. Notable roles include a detective in ""Memories of Murder"" (2003), and a gangster in ""A Bittersweet Life"" (2005). It is based on the true story of Korea's first serial murders in history, which took place between 1986 and 1991 in Hwaseong, Gyeonggi Province.",Memories of Murder,0.5175,True,unsupported_hallucination,['Memories of Murder'],"Per-sentence support scores: [0.48]. Avg support: 0.482. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.482).,0,1
"What genus has more species, Centradenia or Lindera?","Centradenia is a genus of 4-5 species of tropical evergreen perennials or subshrubs, native to Central America and Mexico.Lindera is a genus of about 80-100 species of flowering plants in the family Lauraceae, mostly native to eastern Asia but with three species in eastern North America.",Centradenia has many species.,0.2364,False,none,[],"Per-sentence support scores: [0.76]. Avg support: 0.764. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.764).,1,1
Which player singed to Bayern Munich was born in 18 October 1983?," Before the start of the season, Bayern signed Xherdan Shaqiri, Dante, Claudio Pizarro, Mitchell Weiser, Tom Starke and Mario Mandžukić.Dante Bonfim Costa Santos (born 18 October 1983), commonly known as Dante (] ), is a Brazilian professional footballer who plays for French Ligue 1 club Nice.",The player signed by Bayern Munich who was born in 1983 is Dante.,0.65,True,unsupported_hallucination,['The player signed by Bayern Munich who was born in 1983 is Dante.'],"Per-sentence support scores: [0.35]. Avg support: 0.350. Supported: 0 (incl. 0 rescued by NLI gate), Low: 0, No support: 1 (incl. 1 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.350).,1,1
Which group owns the sister company of Market Place by Jasons?," It is the sister company of Wellcome.Wellcome (; Cantonese: ""Wai Hong"" in Hong Kong; in Taiwan) is a supermarket chain owned by Jardine Matheson Holdings via its Dairy Farm International Holdings subsidiary.",Jardine Matheson Holdings,0.5024,True,unsupported_hallucination,['Jardine Matheson Holdings'],"Per-sentence support scores: [0.50]. Avg support: 0.498. Supported: 0 (incl. 0 rescued by NLI gate), Low: 1, No support: 0 (incl. 0 failed claim verification).",1 of 1 sentence(s) scored below the support threshold (avg cosine similarity=0.498).,0,1
"What is the name of the American football coach born in 1967, who is in his fifth season, as of 2017, with the Idaho Vandals football team?","The Idaho Vandals are the college football team that represents the University of Idaho and plays its home games at the Kibbie Dome, an indoor facility on campus in Moscow, Idaho. The current head coach is Paul Petrino, in his fifth season in 2017.Paul Vincent Petrino (born May 25, 1967) is an American college football coach, currently the head coach at the University of Idaho in Moscow.",Vincent Petrino coaches the Idaho Vandals.,0.2005,False,none,[],"Per-sentence support scores: [0.80]. Avg support: 0.799. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.799).,1,1
Which player singed to Bayern Munich was born in 18 October 1983?," Before the start of the season, Bayern signed Xherdan Shaqiri, Dante, Claudio Pizarro, Mitchell Weiser, Tom Starke and Mario Mandžukić.Dante Bonfim Costa Santos (born 18 October 1983), commonly known as Dante (] ), is a Brazilian professional footballer who plays for French Ligue 1 club Nice.",Dante Bonfim Costa Santos (born 18 October 1983),0.246,False,none,[],"Per-sentence support scores: [0.75]. Avg support: 0.754. Supported: 1 (incl. 0 rescued by NLI gate), Low: 0, No support: 0 (incl. 0 failed claim verification).",All sentences are semantically aligned with the retrieved context (avg cosine similarity=0.754).,0,1
